Entidad,RUC,original_address,formatted_address,lat,lng,confidence
MUNICIPALIDAD DISTRITAL DE COLCABAMBA - TAYACAJA,PE-RUC  20185726216,PERU HUANCAVELICA PLAZA PRINCIPAL DE COLCABAMBA S/N,"Colcabamba 09320, Peru",-12.4,-74.7,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE NESHUYA,PE-RUC  20209167531,PERU UCAYALI LUCIANO ALEGRIA MONTE ALEGRE MZA 01 LOTE 06,"Ucayali, Peru",-9.8251183,-73.087749,APPROXIMATE
ESTABLECIMIENTO DE SALUD MUNICIPAL,PE-RUC  20600575806,PERU AREQUIPA AV PUMACAHUA SN,"Av. Mateo Pumacahua, Paucarpata 04008, Peru",-16.4315885,-71.482435,GEOMETRIC_CENTER
MUNICIPALIDAD DISTRITAL DE ALONSO DE ALVARADO,PE-RUC  20193184279,PERU SAN MARTIN JR. MOYOBAMBA Nº 478,"Jr. Moyobamba 478, Tarapoto 22201, Peru",-6.4813334,-76.3880397,RANGE_INTERPOLATED
CORTE SUPERIOR DE JUSTICIA DE APURIMAC,PE-RUC  20602776604,PERU APURIMAC DIAZ BARCENAS,"Ave Diaz Barcenas, Abancay 03001, Peru",-13.6353495,-72.880404,GEOMETRIC_CENTER
MUNICIPALIDAD DISTRITAL DE HAQUIRA,PE-RUC  20189921595,PERU APURIMAC PLAZA DE ARMAS,"Apurimac, Peru",-14.0504533,-73.087749,APPROXIMATE
MUNICIPALIDAD PROVINCIAL DE CHANCHAMAYO,PE-RUC  20146663461,PERU JUNIN ZUCHETTI No 163,"Junín, Peru",-11.1581925,-75.9926306,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE ARAHUAY,PE-RUC  20211843579,PERU LIMA PLAZA DE ARMAS DE ARAHUAY S/N,"Arahuay 15340, Peru",-11.6214714,-76.67086929999999,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE OCCOBAMBA - LA CONVENCION,PE-RUC  20277520126,PERU CUSCO POBLADO DE KELCCAYBAMBA,"Cusco, Peru",-13.53195,-71.96746259999999,APPROXIMATE
HOSPITAL NACIONAL VICTOR LARCO HERRERA,PE-RUC  20159855938,PERU LIMA AV. DEL EJERCITO 600 LIMA,"Avenida del Ejército 600, Magdalena del Mar 15076, Peru",-12.09922,-77.06551999999999,GEOMETRIC_CENTER
GOBIERNO REGIONAL DE CUSCO - PROYECTO ESPECIAL REGIONAL PLAN COPESCO,PE-RUC  20159311598,PERU CUSCO PLAZA TUPAC AMARU  S/N,"F2GM+VCJ Plaza Túpac Amaru, Cusco 08002, Peru",-13.522776,-71.9664765,GEOMETRIC_CENTER
GOBIERNO REGIONAL DE LA LIBERTAD-INSTITUTO REGIONAL DE OFTALMOLOGIA,PE-RUC  20314801327,"PERU LA LIBERTAD MZ P´ LOTE 7A-NATASHA ALTA- URB,COVICORTI","Natasha Alta, Trujillo 13011, Peru",-8.1128687,-79.0486153,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE SAN FRANCISCO,PE-RUC  20158997941,PERU HUANUCO ANDRES AVELINO CACERES No 180,"Andres Avelino Caceres 180, Huánuco 10001, Peru",-9.9160303,-76.2380014,RANGE_INTERPOLATED
ORGANISMO DE ESTUDIOS Y DISEÑO DE PROYECTOS DE INVERSION,PE-RUC  20612528587,PERU LIMA CANADA SN PUERTA 10 DE LA VIDENA,"Lima, Peru",-12.0466888,-77.04308859999999,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE ELIAS SOPLIN VARGAS,PE-RUC  20187362840,PERU SAN MARTIN AV. GALILEA Nº452 - SEGUNDA JERUSALEN,"Av. Galilea, 22841, Peru",-5.9910354,-77.2795839,GEOMETRIC_CENTER
MUNICIPALIDAD DISTRITAL DE SAN RAFAEL - AMBO,PE-RUC  20200197357,PERU HUANUCO PLAZA DE ARMAS KM 355,"3QC6+54W Plaza de Armas de Huanuco, Jirón Dámaso Beraún, Huánuco 10001, Peru",-9.9295128,-76.2396813,GEOMETRIC_CENTER
MUNICIPALIDAD DISTRITAL DE PISAC,PE-RUC  20147552506,PERU CUSCO PLAZA CONSTITUCION,"Constitucion, Cusco 08007, Peru",-13.5337896,-71.9610742,GEOMETRIC_CENTER
SERVICIO DE GESTION AMBIENTAL DE TRUJILLO - SEGAT,PE-RUC  20481592063,PERU LA LIBERTAD JR BOLIVAR No 558 TRUJILLO,"Jirón Bolivar 558, Trujillo 13001, Peru",-8.1118604,-79.0262316,ROOFTOP
GOBIERNO REGIONAL DE CUSCO - PROYECTO ESPECIAL PLAN MERISS INKA,PE-RUC  20140266575,PERU CUSCO AV. PEDRO VILCAPAZA NRO. 332 WANCHAQ CUSCO,"Pedro Vilca Apaza 332, Cusco 08002, Peru",-13.524307,-71.9624935,ROOFTOP
MUNICIPALIDAD DISTRITAL DE QUIQUIJANA,PE-RUC  20159386415,PERU CUSCO PLAZA DE ARMAS MZ J1 LTE 06,"Pl. de Armas, Cusco 08006, Peru",-13.5449653,-71.8837695,GEOMETRIC_CENTER
MUNICIPALIDAD DISTRITAL DE SAN JUAN BAUTISTA - LORETO,PE-RUC  20451440625,PERU LORETO AV. ABELARDO QUIÑONEZ Nº 2371,"Av. José Abelardo Quiñones 2371, Iquitos 16008, Peru",-3.7703133,-73.2803035,ROOFTOP
MUNICIPALIDAD DISTRITAL DE NUEVA CAJAMARCA,PE-RUC  20178500083,PERU SAN MARTIN JR. HUALLAGA Y BOLOGNESI Nº103,Peru,-9.189967,-75.015152,APPROXIMATE
ZONA REGISTRAL N° VIII SEDE HUANCAYO,PE-RUC  20176231506,PERU JUNIN JR. ATALAYA 1250 EL TAMBO - HUANCAYO,"Atalaya 1250, Huancayo 12006, Peru",-12.0512048,-75.2319061,ROOFTOP
MUNICIPALIDAD DISTRITAL DE SAN JUAN DE TARUCANI,PE-RUC  20206428741,PERU AREQUIPA PLAZA PRINCIPAL,"Pl. Principal, Characato 04012, Peru",-16.469155,-71.4844938,GEOMETRIC_CENTER
MUNICIPALIDAD DISTRITAL DE OLLACHEA,PE-RUC  20162161866,PERU PUNO PLAZA DE ARMAS S/N,"Plaza Mayor de Puno, Jr. Deustua 458, Puno 21001, Peru",-15.8405816,-70.0279072,ROOFTOP
MUNICIPALIDAD DISTRITAL DE SAN PEDRO DE CAJAS,PE-RUC  20199817893,PERU JUNIN PLAZA PRINCIPAL Nº 242,"Junín, Peru",-11.1581925,-75.9926306,APPROXIMATE
GOBIERNO REGIONAL DE AMAZONAS - DIRECCION REGIONAL DE SALUD AMAZONAS,PE-RUC  20176217694,PERU AMAZONAS JR. TRIUNFO S/N CDRA 3 CHACHAPOYAS,"Triunfo, Chachapoyas, Peru",-6.2312069,-77.8611653,GEOMETRIC_CENTER
MUNICIPALIDAD DISTRITAL DE SICAYA,PE-RUC  20172752323,PERU JUNIN JIRON  REAL Nº 1098 SICAYA,"Sicaya, Peru",-12.0145927,-75.2799541,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE EL CARMEN DE LA FRONTERA - SAPALACHE,PE-RUC  20147028491,PERU PIURA PLAZA DE ARMAS S/N,"Plaza de Armas de Piura, Jr. Huancavelica 724, Piura 20001, Peru",-5.197195,-80.62664889999999,ROOFTOP
UNIVERSIDAD NACIONAL DE BARRANCA,PE-RUC  20542068281,PERU LIMA NRO. S/N URB. LA FLORIDA LIMA - BARRANCA - BARRANCA,"La Florida, Lima, Peru",-12.0234246,-77.03413760000001,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE SAN ANDRES DE CUTERVO,PE-RUC  20220894399,PERU CAJAMARCA JR. CESAR VALLEJO Nº 311,"Jr. Cesar Vallejo 311, Jaén 06800, Peru",-5.7364125,-78.7902871,RANGE_INTERPOLATED
GOBIERNO REGIONAL DE CUSCO - DIRECCION REGIONAL DE TRANSPORTES Y COMUNICACIONES CUSCO,PE-RUC  20189975920,PERU CUSCO AV. MICAELA BASTIDAS 480 CUSCO,"Av. Micaela Bastidas 480, Cusco 08002, Peru",-13.5235388,-71.9624888,ROOFTOP
MUNICIPALIDAD DISTRITAL DE CACHACHI,PE-RUC  20176204878,PERU CAJAMARCA PLAZA DE ARMAS S/N,"Plaza de Armas of Cajamarca, Jr del Batán, Cajamarca 06001, Peru",-7.157005,-78.51755299999999,GEOMETRIC_CENTER
MUNICIPALIDAD DISTRITAL DE SANTA ANA,PE-RUC  20190351824,PERU HUANCAVELICA PLAZA PRINCIPAL S/N - SANTA  ANA,"Santa Ana 09500, Peru",-13.0730531,-75.13976770000001,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE PUNTA DE BOMBON,PE-RUC  20181009161,PERU AREQUIPA PLAZA 28 DE JULIO S/N - PUNTA DE BOMBÓN,"Punta de Bombon, Peru",-17.1701881,-71.7935428,APPROXIMATE
MUNICIPALIDAD PROVINCIAL DE CARHUAZ,PE-RUC  20188903488,PERU ANCASH AV. LA MERCED Nº 653,"Ancash, Peru",-9.3250497,-77.5619419,APPROXIMATE
EMPRESA MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO DE HUACHO,PE-RUC  20158820260,PERU LIMA AV. PUQUIO CANO S/N. 5TA. CDRA.-HUACHO,"Puquio Cano, Huacho 15137, Peru",-11.1014487,-77.5977281,GEOMETRIC_CENTER
MUNICIPALIDAD DISTRITAL DE PICHIGUA,PE-RUC  20147419504,PERU CUSCO PLAZA DE ARMAS S/N PICHIGUA,"Cusco, Peru",-13.53195,-71.96746259999999,APPROXIMATE
MUNICIPALIDAD PROVINCIAL DE OTUZCO,PE-RUC  20165341377,PERU LA LIBERTAD TACNA 896 2DO PISO,"Libertad, Tacna 23001, Peru",-17.9998761,-70.2337001,GEOMETRIC_CENTER
MUNICIPALIDAD DISTRITAL DE SANTA ROSA MAZOCRUZ - EL COLLAO,PE-RUC  20214365775,PERU PUNO JR. BOLOGNESI No 102 3ER PISO,"Coronel Francisco Bolognesi, Puno 21002, Peru",-15.8437897,-70.0356241,GEOMETRIC_CENTER
MUNICIPALIDAD DISTRITAL DE OMACHA,PE-RUC  20159308619,PERU CUSCO Vacio/Nulo,"Cusco, Peru",-13.53195,-71.96746259999999,APPROXIMATE
EMPRESA MUNICIPAL DE AGUA POTABLE Y ALCANTARILLADO DE ABANCAY S.A.,PE-RUC  20115425651,PERU APURIMAC AV.PRADO NORTE N° 404 -ABANCAY,"Abancay, Peru",-13.6391954,-72.8929,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE KIMBIRI,PE-RUC  20178199251,PERU CUSCO JR. JOSE OLAYA Nº 151 - 153 KIMBIRI,"Jr. José Olaya 151-153, Kimbiri 08800, Peru",-12.6196341,-73.7894285,GEOMETRIC_CENTER
MUNICIPALIDAD PROVINCIAL DE LUCANAS - PUQUIO,PE-RUC  20143082297,PERU AYACUCHO JR.AYACUCHO 118,"Jr. Ayacucho 118, Ayacucho 05002, Peru",-13.1802928,-74.2201886,RANGE_INTERPOLATED
MUNICIPALIDAD DISTRITAL DE PUERTO BERMUDEZ,PE-RUC  20215430554,PERU PASCO PLAZA MUNICIPAL.INT.2,"Pasco, Peru",-10.4475753,-75.1545381,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE ALTO DE LA ALIANZA,PE-RUC  20147796715,PERU TACNA AVENIDA PROLONGACIÓN GUSTAVO PINTO NO 1337,"Gustavo Pinto 1337, Tacna 23003, Peru",-18.0093929,-70.238063,RANGE_INTERPOLATED
MUNICIPALIDAD PROVINCIAL DE CONDORCANQUI - NIEVA,PE-RUC  20178082222,PERU AMAZONAS JR. GONZALO PUERTA S/N,"Amazonas, Peru",-5.115146,-78.11082789999999,APPROXIMATE
GOBIERNO REGIONAL DE HUANCAVELICA-HOSPITAL DEPARTAMENTAL DE HUANCAVELICA,PE-RUC  20444054400,PERU HUANCAVELICA AV. ANDRES AVELINO CÁCERES S/N,"Huancavelica 09001, Peru",-12.7861978,-74.9764024,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE JEBEROS,PE-RUC  20205141163,PERU LORETO JEBEROS,"Jeberos 16520, Peru",-5.293322499999999,-76.2833474,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE TANTAMAYO,PE-RUC  20210735390,PERU HUANUCO JR. EDUARDO LANATTA,"Huánuco, Peru",-9.9207648,-76.2410843,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE SANTA TERESA,PE-RUC  20159340008,PERU CUSCO URB. PAMPA CHALET,"Cusco, Peru",-13.53195,-71.96746259999999,APPROXIMATE
GOBIERNO REGIONAL DE LIMA - SERVICIOS BASICOS DE SALUD CAÑETE-YAUYOS,PE-RUC  20202698124,PERU LIMA AVENIDA MARISCAL BENAVIDES Nº 768,"Av. Óscar R. Benavides 768, Lima 15082, Peru",-12.0471221,-77.05164289999999,ROOFTOP
MUNICIPALIDAD DISTRITAL DE BELLAVISTA - PROV. CALLAO,PE-RUC  20131369639,PERU CALLAO JR. BOLOGNESI NO 498,"Jr. Francisco Bolognesi 498, Bellavista 07016, Peru",-12.062559,-77.1293287,ROOFTOP
SERVICIO NACIONAL DE SANIDAD AGRARIA,PE-RUC  20131373075,PERU LIMA AV. LA MOLINA Nº 1915 La Molina LIMA,"Av. la Molina 1915, La Molina 15026, Peru",-12.0858413,-76.89607869999999,ROOFTOP
PROYECTO ESPECIAL BINACIONAL DE LAGO TITICACA,PE-RUC  20162117379,PERU PUNO AVENIDA LA TORRE 399,"Av. La Torre 399, Puno 21001, Peru",-15.8340875,-70.0275681,ROOFTOP
MUNICIPALIDAD DISTRITAL DE CHORRILLOS,PE-RUC  20131368152,PERU LIMA AV. DEFENSORES DEL MORRO Nº 550,"Av. Defensores del Morro 550, Chorrillos 15064, Peru",-12.1693438,-77.0244283,ROOFTOP
GOBIERNO REGIONAL DE MOQUEGUA - HOSPITAL REGIONAL DE MOQUEGUA,PE-RUC  20532658986,PERU MOQUEGUA AV. BOLIVAR S/N URB. EL HUAYCO MOQUEGUA,"Av Simon Bolivar, Moquegua 18001, Peru",-17.1865309,-70.9268182,GEOMETRIC_CENTER
MUNICIPALIDAD DISTRITAL DE YAULI - YAULI,PE-RUC  20146511873,PERU JUNIN AV.GRAU NO 104,"Junín, Peru",-11.1581925,-75.9926306,APPROXIMATE
MUNICIPALIDAD PROVINCIAL DE SAN IGNACIO,PE-RUC  20148261572,PERU CAJAMARCA AV.SAN IGNACION Nº101,"San Ignacio, Cajamarca 06002, Peru",-7.1591414,-78.5071988,GEOMETRIC_CENTER
MUNICIPALIDAD PROVINCIAL DE ISLAY - MOLLENDO,PE-RUC  20166164789,PERU AREQUIPA AREQUIPA,"Arequipa, Peru",-16.4057001,-71.5400994,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE MIRGAS,PE-RUC  20203857234,PERU ANCASH PLAZA DE ARMAS DE MIRGAS S/N,"Mirgas, Peru",-9.0791501,-77.0924196,APPROXIMATE
GOBIERNO REGIONAL DE CUSCO-SALUD,PE-RUC  20171092354,PERU CUSCO AV. DE LA CULTURA S/N  CUSCO,"Av. de La Cultura, Cusco, Peru",-13.5278464,-71.9415299,GEOMETRIC_CENTER
GOBIERNO REGIONAL DE SAN MARTÍN - DIRECCION SUB REGIONAL DE SALUD HUALLAGA C.,PE-RUC  20531319991,PERU SAN MARTIN JR. ARICA 205 JUANJUI,"Arica 205, Juanjuí 22601, Peru",-7.1812031,-76.7356396,ROOFTOP
MUNICIPALIDAD DISTRITAL DE EL TAMBO,PE-RUC  20133696742,PERU JUNIN AV.MARISCAL CASTILLA NO 1920,"Av. Mariscal Castilla 1920, Huancayo 12003, Peru",-12.0841902,-75.207664,RANGE_INTERPOLATED
MUNICIPALIDAD DISTRITAL DE VILCA,PE-RUC  20190345425,PERU HUANCAVELICA PLAZA PRINCIPAL S/N,"Huancavelica 09001, Peru",-12.7861978,-74.9764024,APPROXIMATE
UNIVERSIDAD NACIONAL JOSE MARIA ARGUEDAS,PE-RUC  20527760314,PERU APURIMAC JR JUAN FRANCISCO RAMOS NRO 380,"Apurimac, Peru",-14.0504533,-73.087749,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE EL INGENIO,PE-RUC  20162456408,PERU ICA AV.FRANCISCO BOLOGNESO NO 32,"Ica, Peru",-14.07546,-75.7341811,APPROXIMATE
GOBIERNO REGIONAL DE SAN MARTIN - UNIDAD EJECUTORA HOSPITAL II-2 TARAPOTO,PE-RUC  20494013453,PERU SAN MARTIN JR. ANGEL DELGADO MOREY S/N SAN MARTIN - SAN MARTIN - TARAPOTO,"GJ9G+2W3, Tarapoto 22201, Peru",-6.4824784,-76.3726891,GEOMETRIC_CENTER
MUNICIPALIDAD DISTRITAL DE SAN MIGUEL DE ACO,PE-RUC  20198352781,PERU ANCASH PLAZA DE ARMAS S/N,"Ancash, Peru",-9.3250497,-77.5619419,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE SUBTANJALLA,PE-RUC  20175229907,PERU ICA AV. MUNICIPALIDAD Nº 200 - SUBTANJALLA,"Municipalidad 200, 11004, Peru",-14.0185952,-75.7579665,ROOFTOP
MUNICIPALIDAD DISTRITAL DE SANTA ROSA - JAEN,PE-RUC  20215744907,PERU CAJAMARCA JESUS CALABOR Nº241 2DO PISO,"Jesús, Peru",-7.2476352,-78.3813785,APPROXIMATE
GOBIERNO REGIONAL DE AYACUCHO-AGRICULTURA,PE-RUC  20407307292,PERU AYACUCHO AV. INDEPENDENCIA Nº 604 AYACUCHO,"Independencia 604, Ayacucho 05001, Peru",-13.146238,-74.2246435,RANGE_INTERPOLATED
GOBIERNO REGIONAL DE TACNA-AGRICULTURA,PE-RUC  20201529400,PERU TACNA MANUEL A. ODRIA 1508,"Av. Manuel A. Odría 1508, Tacna, Peru",-18.0217051,-70.25939509999999,ROOFTOP
MUNICIPALIDAD DISTRITAL DE TORATA,PE-RUC  20171880115,PERU MOQUEGUA CALLE TORATA Nº 53,"Calle Torata 53, Moquegua 18001, Peru",-17.1924254,-70.9379198,RANGE_INTERPOLATED
MUNICIPALIDAD DISTRITAL DE LOS BAÑOS DEL INCA,PE-RUC  20143625681,PERU CAJAMARCA AVENIDA  ATAHUALPA S/N PLAZA DE ARMAS - CENTRO HISTORICO,"Cajamarca, Peru",-7.1617465,-78.51278549999999,APPROXIMATE
HOSPITAL PUENTE PIEDRA - CARLOS LANFRANCO LA HOZ - CLL4,PE-RUC  20203531550,PERU LIMA AV. SAENZ PEÑA S/N - CUADRA 6,"Av Saenz Peña, Callao 07021, Peru",-12.0600776,-77.1370233,GEOMETRIC_CENTER
MUNICIPALIDAD DISTRITAL DE SITABAMBA,PE-RUC  20206511053,PERU LA LIBERTAD JR. OLAYA S/N 2DO PISO,Peru,-9.189967,-75.015152,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE SAN PEDRO DE HUACARPANA,PE-RUC  20278758401,PERU ICA AV SAN MARTIN DE PORRAS NO 335,"Ica, Peru",-14.07546,-75.7341811,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE LIMBANI,PE-RUC  20202190503,PERU PUNO JR. 8 DE OCTUBRE  S/N - LIMBANI,"Puno, Peru",-15.8402218,-70.0218805,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE PACAIPAMPA,PE-RUC  20165913788,PERU PIURA CALLE CORREO S/N 2DO. PISO,"Piura, Peru",-5.1782884,-80.6548882,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE OXAMARCA,PE-RUC  20189262451,PERU CAJAMARCA JR DOS DE MAYO SN PLAZA DE ARMAS,"Jr. Dos de Mayo, San Miguel de Pallaques 06456, Peru",-7.0009344,-78.8507243,GEOMETRIC_CENTER
EMPRESA PRESTADORA DE SERVICIOS DE SANEAMIENTO MARAÑON S.R.L.,PE-RUC  20141814312,PERU CAJAMARCA MARISCAL URETA 1912,"Mariscal Ureta 1912, Jaén 06801, Peru",-5.7088762,-78.8128708,ROOFTOP
MUNICIPALIDAD DISTRITAL DE HUACHIS,PE-RUC  20166604266,PERU ANCASH JR. CONDOR CANQUI S/N,"Ancash, Peru",-9.3250497,-77.5619419,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE LOS MOROCHUCOS,PE-RUC  20166868247,PERU AYACUCHO JR LOS MOROCHUCOS NRO 100 PLAZA PRINCIPAL PAMPA CANGALLO,"Plaza Principal De, Los Morochucos 100, Pampa Cangallo 05846, Peru",-13.5576112,-74.19557739999999,ROOFTOP
MUNICIPALIDAD DISTRITAL DE VIZCATAN DEL ENE,PE-RUC  20601068681,PERU JUNIN PLAZA PRINCIPAL S/N,"Junín, Peru",-11.1581925,-75.9926306,APPROXIMATE
MUNICIPALIDAD PROVINCIAL DE AYMARAES - CHALHUANCA,PE-RUC  20165610297,PERU APURIMAC JR. ANDAHUAYLAS NO 312,"jr. Andahuaylas 312, Abancay 03001, Peru",-13.6356031,-72.88130009999999,RANGE_INTERPOLATED
MUNICIPALIDAD DISTRITAL DE SARIN,PE-RUC  20207747204,PERU LA LIBERTAD AV ABELARDO GAMARRA RONDO SN SARIN,Peru,-9.189967,-75.015152,APPROXIMATE
MINISTERIO DE LA MUJER Y POBLACIONES VULNERABLES- ADMINISTRACIÓN GENERAL,PE-RUC  20336951527,PERU LIMA JR. CAMANA 616 LIMA,"Jr. Camaná 616, Lima 15001, Peru",-12.0483423,-77.0348028,ROOFTOP
MUNICIPALIDAD DISTRITAL DE BUENOS AIRES - MORROPON,PE-RUC  20171662631,PERU PIURA AV.GRAU Nº576,"Av. Grau, Piura, Peru",-5.1854808,-80.659183,GEOMETRIC_CENTER
REGION POLICIAL PIURA,PE-RUC  20601020191,PERU PIURA PANAMERICANA NORTE KM 3.5 ZONA INDUSTRIAL S/N,"Au. Panamericana Nte., Piura, Peru",-5.2028899,-80.684843,GEOMETRIC_CENTER
GOBIERNO REGIONAL DE UCAYALI-HOSPITAL DE APOYO DE PUCALLPA,PE-RUC  20205390546,PERU UCAYALI JR. AGUSTIN CAUPER 285 PUCALLPA,"JCW6+MQF, Pucallpa 25004, Peru",-8.353323399999999,-74.58808189999999,GEOMETRIC_CENTER
MUNICIPALIDAD DISTRITAL DE NINABAMBA,PE-RUC  20186865384,PERU CAJAMARCA BURGA LARREA S/N,"Cajamarca, Peru",-7.1617465,-78.51278549999999,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE POMACANCHI,PE-RUC  20159329535,PERU CUSCO PLAZA DE ARMAS No 100,"Pl. de Armas Nª 100, Cusco 08006, Peru",-13.5449415,-71.88372269999999,ROOFTOP
MUNICIPALIDAD DISTRITAL DE YAMON,PE-RUC  20350098250,PERU AMAZONAS PLAZA PRINCIPAL,"Amazonas, Peru",-5.115146,-78.11082789999999,APPROXIMATE
GOBIERNO REGIONAL DE LIMA - HOSPITAL DE APOYO REZOLA,PE-RUC  20170983816,PERU LIMA CALLE SAN MARTÍN Nº  120 y 124 SAN VICENTE DE CAÑETE,"124, Ca. San Martín 120, Miraflores 15074, Peru",-12.1249304,-77.0324414,RANGE_INTERPOLATED
MUNICIPALIDAD DISTRITAL DE PUENTE PIEDRA,PE-RUC  20131366702,PERU LIMA CALLE 9 DE JUNIO Nº100 - PUNTE PIEDRA,"Ca. 9 de Junio, Puente Piedra 15118, Peru",-11.8675888,-77.07813,GEOMETRIC_CENTER
GOBIERNO REGIONAL DE CUSCO - UNIDAD EJECUTORA 406 : RED DE SERVICIOS DE SALUD KIMBIRI-PICHARI,PE-RUC  20494981280,PERU CUSCO JR. INTIRAYMI S/N - KIMBIRI,"Cusco, Peru",-13.53195,-71.96746259999999,APPROXIMATE
MUNICIPALIDAD PROVINCIAL DE ATALAYA - RAYMONDI,PE-RUC  20171714371,PERU UCAYALI CALLE RIOJA Nº 659 - ATALAYA,"C. Rioja 659, Atalaya 25201, Peru",-10.7299969,-73.7556001,ROOFTOP
MINISTERIO PUBLICO - GERENCIA ADMINISTRATIVA DE AMAZONAS,PE-RUC  20600031687,PERU AMAZONAS JIRON ANGELA SABARBEIN C-2 CHACHAPOYAS CHACHAPOYAS AMAZONAS,"Jr. Ortiz Arriet, Chachapoyas 01001, Peru",-6.2348008,-77.8727184,GEOMETRIC_CENTER
MUNICIPALIDAD DISTRITAL DE CURGOS,PE-RUC  20213758293,PERU LA LIBERTAD JR.PROGRESO 207,Peru,-9.189967,-75.015152,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE QUELLOUNO,PE-RUC  20170327129,PERU CUSCO AV.ABANCAY,"Av. Abancay, Cusco 08002, Peru",-13.5150079,-71.9863096,GEOMETRIC_CENTER
MUNICIPALIDAD DISTRITAL DE LA MOLINA,PE-RUC  20131365722,PERU LIMA AV. RICARDO ELIAS APARICIO Nº 740,"Av. Ricardo Elías Aparicio 740, La Molina 15026, Peru",-12.0783521,-76.9168972,ROOFTOP
MUNICIPALIDAD DISTRITAL DE SANTA ROSA - MELGAR,PE-RUC  20169037958,PERU PUNO PLAZA DE ARMAS Nº101,"Plaza Mayor de Puno, Jr. Deustua 458, Puno 21001, Peru",-15.8405816,-70.0279072,ROOFTOP
CORTE SUPERIOR DE JUSTICIA DE LIMA,PE-RUC  20546303951,PERU LIMA AV. ABANCAY NRO. S/N LIMA - LIMA - LIMA,"Lima, Peru",-12.0466888,-77.04308859999999,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE SAN PABLO - CANCHIS,PE-RUC  20159340181,"PERU CUSCO PLAZA DE ARMAS, DISTRITO DE SAN PABLO","San Pablo 08250, Peru",-14.2022785,-71.3156315,APPROXIMATE
MINISTERIO DE TRABAJO Y PROMOCION DEL EMPLEO,PE-RUC  20131023414,PERU LIMA AV. SALAVERRY 655 LIMA,"Av. Gral. Salaverry 655, Jesús María 15072, Peru",-12.0713555,-77.0403449,ROOFTOP
GOBIERNO REGIONAL DE AMAZONAS  - DIRECCION DE RED DE SALUD CONDORCANQUI,PE-RUC  20487671097,PERU AMAZONAS SIMON BOLIVAR NRO 700 BARRIO LA TUNA,"Amazonas, Peru",-5.115146,-78.11082789999999,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE EL AGUSTINO,PE-RUC  20131377909,PERU LIMA AV.RIVA AGUERO Nº1358,"Av. Riva Agüero, Lima, Peru",-12.050383,-77.0022303,GEOMETRIC_CENTER
TRANSPORTES METROPOLITANOS DE TRUJILLO,PE-RUC  20477412549,PERU LA LIBERTAD CALLE PARAGUAY N° 192,Peru,-9.189967,-75.015152,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE YANACANCHA - CHUPACA,PE-RUC  20204050580,PERU JUNIN PLAZA PRINCIPAL,"Junín, Peru",-11.1581925,-75.9926306,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE SANTA CRUZ - HUAYLAS,PE-RUC  20146920374,PERU ANCASH PLAZA DE ARMAS S/N - HUARIPAMPA,"Ancash, Peru",-9.3250497,-77.5619419,APPROXIMATE
REGION POLICIAL HUANUCO - SAN MARTIN - UCAYALI,PE-RUC  20602398103,PERU HUANUCO JR. CONSTITUCIÓN N° 501,"Huánuco, Peru",-9.9207648,-76.2410843,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE YONAN,PE-RUC  20189022655,PERU CAJAMARCA PARQUE MARISCAL CASTILLA Nº341,"Cajamarca, Peru",-6.4549673,-78.8382644,APPROXIMATE
MUNICIPALIDAD DISTRITAL DE JOSE GALVEZ,PE-RUC  20190685013,PERU CAJAMARCA AVENIDA MARAÑON Nº 879,"Jirón Marañón 879, Cajamarca 06001, Peru",-7.150545500000001,-78.52194039999999,RANGE_INTERPOLATED
